studentid,comp_name,position,salary
480e25964a9af56b3a66f1ccfb593caf,บริษัท ธรรมชาติกล้วยไม้ไทย จำกัด,เรียนเพื่อไปเป็นครู,13000
7cf1530423f3edc49e331c55766164d2,IBM Solutions Delivery Co.,Ltd.,รอจังหวะความพร้อมในการสอบ,23000
cbe34803f2e1bfbf00347afa249be2d7,อาจารย์พลาสติก,ต้องไปศึกษางานเพื่อเปิดธุรกิจของตนเอง,10000
b1ef37b3956f13c9cbf4a956bf967c08,โรงพยาบาลรามาธิบดีจักรีนฤบดินทร์,อยากได้ประสบการณ์ด้านอื่นที่ไม่ตรงกับสาขาที่เรียน,20090
f85a527daa50f8a681b6ea21f560037c,อู่สยามบัสบอดี้,ทำงานส่วนตัว,15000
2c32c35302b09b7b494d341622d9f9a4,winbest industial ,ไม่ได้ความรู้ที่เรียนไปใช้,17000
47d387266271797307d1f8ddeb30b679,major resourse,หาไม่ได้,17000
dccd4d65ca0ffda34ecdf1f770217ebd,เพรซิเดนท์ เบเกอรี่ จำกัด (มหาชน),ไม่ค่อยได้ใช้ความรู้ที่เรียนมา,17000
7a1d1654ca6ff503b6d30ee5900d7c12,Saenruk Innovation Co., Ltd.,งานใกล้บ้าน,18000
cdd23f405d899398fb2432a4a5b40d8f,ห้างหุ้นส่วนจำกัด อุดมศรีวัฒนา   สำนักงานใหญ่,เป็นงานระบบไฟฟ้า ประปา แอร์,20000
8b9777cfbbd30e261deaf49259f8f806,บริษัท อินเทอร์เน็ตประเทศไทย จำกัด (มหาชน),เป็นสายงานที่เกี่ยวกับการพูด,20000
2140e64e8a3f0ab8561f20ca7b00b7c6,บริษัท เพกาซัส อินเตอร์เนชั่้นแนล จำกัด,หางานตรงสาขาไม่ได้เลย,20000
